id,mouse_line,region,layer,hemisphere,dendrite_type,apical,has_morphology,has_reconstruction,normalized_depth,profile_cluster
467703703,Scnn1a-Tg2-Cre,VISp,4,right,spiny,intact,True,True,0.408216,1
321906005,Nr5a1-Cre,VISp,4,left,spiny,intact,True,True,0.425421,1
319070795,Nr5a1-Cre,VISp,4,left,spiny,truncated,True,True,0.4257,1
397351623,Nr5a1-Cre,VISp,4,left,spiny,intact,True,True,0.40868,1
348592897,Scnn1a-Tg2-Cre,VISp,4,left,spiny,intact,True,True,0.382884,1
466928405,Scnn1a-Tg3-Cre,VISp,4,right,spiny,intact,True,True,0.381883,1
313862022,Scnn1a-Tg2-Cre,VISp,4,right,spiny,intact,True,True,0.389582,1
471077857,Pvalb-IRES-Cre,VISp,5,left,aspiny,,True,True,0.566174,2
336676216,Pvalb-IRES-Cre,VISp,5,left,aspiny,,True,True,0.498731,2
467782778,Scnn1a-Tg2-Cre,VISp,5,left,aspiny,,True,True,0.456267,2
321707905,Pvalb-IRES-Cre,VISp,5,left,aspiny,,True,True,0.520484,2
323475862,Sst-IRES-Cre,VISp,5,left,aspiny,,True,True,0.473089,2
471085676,Pvalb-IRES-Cre,VISp,5,left,aspiny,,True,True,0.52565,2
320654829,Rorb-IRES2-Cre,VISl,5,left,aspiny,,True,True,0.487762,2
318331342,Pvalb-IRES-Cre,VISp,5,left,aspiny,,True,True,0.500097,2
354190013,Scnn1a-Tg2-Cre,VISp,5,left,spiny,intact,True,True,0.492559,3
468120757,Scnn1a-Tg3-Cre,VISp,5,right,spiny,intact,True,True,0.491406,3
314804042,Rorb-IRES2-Cre,VISp,4,left,spiny,intact,True,True,0.456165,4
320207387,Scnn1a-Tg3-Cre,VISp,4,right,spiny,intact,True,True,0.442957,4
320668879,Scnn1a-Tg2-Cre,VISp,4,left,spiny,intact,True,True,0.446886,4
314831019,Scnn1a-Tg3-Cre,VISp,4,left,spiny,intact,True,True,0.441228,4
327706437,Htr3a-Cre_NO152,VISp,2/3,right,aspiny,,True,True,0.17638,6
464188580,Htr3a-Cre_NO152,VISp,2/3,left,aspiny,,True,True,0.216749,5
324493977,Sst-IRES-Cre,VISp,2/3,right,aspiny,,True,True,0.212325,5
469753383,Htr3a-Cre_NO152,VISp,2/3,left,aspiny,,True,True,0.156028,5
323452245,Sst-IRES-Cre,VISp,2/3,left,spiny,intact,True,True,0.171418,8
327962063,Htr3a-Cre_NO152,VISp,2/3,right,aspiny,,True,True,0.216903,7
313862167,Sst-IRES-Cre,VISp,2/3,right,aspiny,,True,True,0.301737,7
333604946,Pvalb-IRES-Cre,VISp,2/3,left,aspiny,,True,True,0.260489,7
314822529,Rorb-IRES2-Cre,VISp,5,left,spiny,intact,True,True,0.66499,9
471758398,Rbp4-Cre_KL100,VISp,5,left,spiny,intact,True,True,0.65148,9
471141261,Rbp4-Cre_KL100,VISp,5,left,spiny,intact,True,True,0.607313,11
466664172,Sst-IRES-Cre,VISp,5,left,aspiny,,True,True,0.612143,10
464198958,Sst-IRES-Cre,VISl,5,right,aspiny,,True,True,0.566045,10
313861608,Pvalb-IRES-Cre,VISp,5,right,aspiny,,True,True,0.604054,10
469801569,Pvalb-IRES-Cre,VISp,5,left,aspiny,,True,True,0.540377,10
464326095,Pvalb-IRES-Cre,VISp,6a,right,aspiny,,True,True,0.678068,10
396968721,Gad2-IRES-Cre,VISp,5,right,aspiny,,True,True,0.68691,10
471088062,Pvalb-IRES-Cre,VISp,5,right,aspiny,,True,True,0.616123,10
323535089,Gad2-IRES-Cre,VISp,5,left,aspiny,,True,True,0.572262,10
333785935,Pvalb-IRES-Cre,VISp,5,right,aspiny,,True,True,0.575844,10
382982932,Nr5a1-Cre,VISp,2/3,left,spiny,intact,True,True,0.274116,12
318808427,Nr5a1-Cre,VISp,4,left,spiny,intact,True,True,0.287391,12
397353539,Nr5a1-Cre,VISpm,4,right,spiny,intact,True,True,0.328667,12
354833767,Nr5a1-Cre,VISp,2/3,right,spiny,intact,True,True,0.315267,12
370351753,Nr5a1-Cre,VISp,4,left,spiny,intact,True,True,0.369807,12
469992918,Pvalb-IRES-Cre,VISp,4,left,aspiny,,True,True,0.343802,12
324257146,Sst-IRES-Cre,VISp,4,left,aspiny,,True,True,0.410398,13
469704261,Nr5a1-Cre,VISp,4,right,spiny,intact,True,True,0.355342,13
395830185,Scnn1a-Tg3-Cre,VISp,4,right,spiny,intact,True,True,0.368973,13
321923685,Nr5a1-Cre,AUDd,4,right,aspiny,,True,True,0.396469,13
471077468,Pvalb-IRES-Cre,VISp,4,right,aspiny,,True,True,0.368328,13
386049446,Nr5a1-Cre,VISp,4,left,spiny,intact,True,True,0.336857,14
318733871,Nr5a1-Cre,VISp,4,right,spiny,intact,True,True,0.343696,14
314642645,Rorb-IRES2-Cre,VISp,2/3,right,spiny,intact,True,True,0.31109,14
314900022,Scnn1a-Tg3-Cre,VISp,4,right,spiny,intact,True,True,0.330665,14
469798159,Scnn1a-Tg3-Cre,VISp,4,left,spiny,intact,True,True,0.334733,14
324025371,Rorb-IRES2-Cre,VISp,2/3,right,spiny,intact,True,True,0.332753,14
471789504,Ntsr1-Cre,VISp,6a,left,spiny,intact,True,True,0.900306,15
471410185,Ntsr1-Cre,VISp,6a,left,spiny,intact,True,True,0.882667,15
471358165,Rbp4-Cre_KL100,VISp,5,right,spiny,truncated,True,True,0.711496,16
471819401,Ntsr1-Cre,VISp,6a,right,spiny,truncated,True,True,0.766905,16
325941643,Rbp4-Cre_KL100,VISp,6a,left,spiny,intact,True,True,0.77281,16
322197160,Sst-IRES-Cre,VISp,5,left,aspiny,,True,True,0.743214,17
471087830,Pvalb-IRES-Cre,VISp,6a,left,aspiny,,True,True,0.75205,17
330080937,Pvalb-IRES-Cre,VISp,5,right,aspiny,,True,True,0.704917,17
320466871,Pvalb-IRES-Cre,VISp,6a,left,aspiny,,True,True,0.710348,17
313862306,Sst-IRES-Cre,VISl,6a,left,aspiny,,True,True,0.695111,17
313862373,Pvalb-IRES-Cre,VISl,6a,left,aspiny,,True,True,0.795902,18
324466858,Sst-IRES-Cre,VISp,5,left,sparsely spiny,,True,True,0.638411,18
466245544,Pvalb-IRES-Cre,VISp,6a,left,aspiny,,True,True,0.81528,18
323834998,Scnn1a-Tg3-Cre,VISl,5,right,aspiny,,True,True,0.704332,18
464212183,Sst-IRES-Cre,VISal,5,left,aspiny,,True,True,0.641383,18
